,latitude,longitude,start_time,end_time,duration_time,cluster
0,38.033553,-78.507977,2025-01-14 16:50:33.999000-05:00,2025-01-15 09:24:39.627000-05:00,0 days 16:34:05.628000,0
1,38.031619,-78.510846,2025-01-15 09:25:47.488000-05:00,2025-01-15 10:53:54.217000-05:00,0 days 01:28:06.729000,1
2,38.029297,-78.510103,2025-01-15 10:53:54.217000-05:00,2025-01-15 12:13:04.349000-05:00,0 days 01:19:10.132000,2
3,38.031619,-78.510846,2025-01-15 12:13:04.349000-05:00,2025-01-15 15:18:36.354000-05:00,0 days 03:05:32.005000,1
4,38.033553,-78.507977,2025-01-15 20:19:08.968000-05:00,2025-01-15 21:12:17.457000-05:00,0 days 00:53:08.489000,0
5,38.031103,-78.513688,2025-01-15 20:21:44.218000-05:00,2025-01-15 21:12:17.457000-05:00,0 days 00:50:33.239000,3
6,38.029297,-78.510103,2025-01-15 21:17:32.448000-05:00,2025-01-16 10:50:25.999000-05:00,0 days 13:32:53.551000,2
7,38.031619,-78.510846,2025-01-16 10:51:44.568000-05:00,2025-01-16 12:22:03.890000-05:00,0 days 01:30:19.322000,1
8,38.029297,-78.510103,2025-01-16 12:22:03.890000-05:00,2025-01-16 13:32:23.364000-05:00,0 days 01:10:19.474000,2
9,38.052815,-78.501257,2025-01-16 13:45:16-05:00,2025-01-16 15:23:04.612000-05:00,0 days 01:37:48.612000,4
10,38.050641,-78.504014,2025-01-16 13:45:16-05:00,2025-01-16 13:45:17-05:00,0 days 00:00:01,-1
11,38.052566,-78.501698,2025-01-16 13:45:17-05:00,2025-01-16 13:45:18-05:00,0 days 00:00:01,4
12,38.051724,-78.502585,2025-01-16 13:45:18-05:00,2025-01-16 13:45:19-05:00,0 days 00:00:01,-1
13,38.033553,-78.507977,2025-01-16 15:40:21.682000-05:00,2025-01-16 17:02:19.579000-05:00,0 days 01:21:57.897000,0
14,38.031103,-78.513688,2025-01-16 15:56:46.620000-05:00,2025-01-16 17:02:19.579000-05:00,0 days 01:05:32.959000,3
15,38.029297,-78.510103,2025-01-16 17:07:01.127000-05:00,2025-01-16 21:56:32.999000-05:00,0 days 04:49:31.872000,2
16,38.069505,-78.48403,2025-01-16 22:05:52-05:00,2025-01-16 22:12:54.999000-05:00,0 days 00:07:02.999000,5
17,38.029297,-78.510103,2025-01-16 22:28:21.406000-05:00,2025-01-17 06:48:43.999000-05:00,0 days 08:20:22.593000,2
18,37.655,-77.613889,2025-01-17 08:08:44.530000-05:00,2025-01-17 09:44:50-05:00,0 days 01:36:05.470000,6
19,38.029297,-78.510103,2025-01-17 11:00:26.519000-05:00,2025-01-17 11:39:16.340000-05:00,0 days 00:38:49.821000,2
20,38.069104,-78.490289,2025-01-17 11:52:41-05:00,2025-01-17 12:09:01.110000-05:00,0 days 00:16:20.110000,7
21,38.052815,-78.501257,2025-01-17 12:17:53.999000-05:00,2025-01-17 12:49:10.610000-05:00,0 days 00:31:16.611000,4
22,38.053566,-78.500689,2025-01-17 12:19:10.999000-05:00,2025-01-17 12:49:10.610000-05:00,0 days 00:29:59.611000,8
23,38.029297,-78.510103,2025-01-17 12:58:22-05:00,2025-01-17 19:37:07.285000-05:00,0 days 06:38:45.285000,2
24,38.029297,-78.510103,2025-01-17 22:12:05.517000-05:00,2025-01-18 12:54:44.515000-05:00,0 days 14:42:38.998000,2
25,38.033553,-78.507977,2025-01-18 12:59:37.338000-05:00,2025-01-18 15:34:50.999000-05:00,0 days 02:35:13.661000,0
26,38.032882,-78.513558,2025-01-18 13:01:46.312000-05:00,2025-01-18 15:34:50.999000-05:00,0 days 02:33:04.687000,9
27,38.030833,-78.507891,2025-01-18 15:34:50.999000-05:00,2025-01-18 16:26:38.024000-05:00,0 days 00:51:47.025000,-1
28,38.029297,-78.510103,2025-01-18 19:04:18.930000-05:00,2025-01-18 19:15:58.458000-05:00,0 days 00:11:39.528000,2
29,38.052815,-78.501257,2025-01-18 19:29:35-05:00,2025-01-18 19:46:55.029000-05:00,0 days 00:17:20.029000,4
30,38.029297,-78.510103,2025-01-18 19:52:37.020000-05:00,2025-01-19 13:05:46.815000-05:00,0 days 17:13:09.795000,2
31,38.033553,-78.507977,2025-01-19 13:05:46.815000-05:00,2025-01-19 15:48:09.422000-05:00,0 days 02:42:22.607000,0
32,38.031103,-78.513688,2025-01-19 13:06:49-05:00,2025-01-19 13:11:15.671000-05:00,0 days 00:04:26.671000,3
33,38.029297,-78.510103,2025-01-19 15:48:49.953000-05:00,2025-01-19 20:06:11.983000-05:00,0 days 04:17:22.030000,2
34,38.033553,-78.507977,2025-01-19 20:09:07.105000-05:00,2025-01-19 22:03:47.929000-05:00,0 days 01:54:40.824000,0
35,38.035037,-78.517565,2025-01-19 20:09:07.105000-05:00,2025-01-19 20:14:12.840000-05:00,0 days 00:05:05.735000,10
36,38.029297,-78.510103,2025-01-19 22:06:24.314000-05:00,2025-01-20 13:10:52.456000-05:00,0 days 15:04:28.142000,2
37,38.029297,-78.510103,2025-01-20 17:51:51.742000-05:00,2025-01-20 18:03:24.557000-05:00,0 days 00:11:32.815000,2
38,38.033553,-78.507977,2025-01-20 18:06:59.755000-05:00,2025-01-20 20:08:24.140000-05:00,0 days 02:01:24.385000,0
39,38.035037,-78.517565,2025-01-20 18:06:59.755000-05:00,2025-01-20 20:08:24.140000-05:00,0 days 02:01:24.385000,10
40,38.029297,-78.510103,2025-01-20 20:11:48-05:00,2025-01-21 10:56:52.821000-05:00,0 days 14:45:04.821000,2
41,38.031619,-78.510846,2025-01-21 10:56:52.821000-05:00,2025-01-21 12:20:03.999000-05:00,0 days 01:23:11.178000,1
42,38.029327,-78.510056,2025-01-21 12:21:21.712000-05:00,2025-01-21 13:39:35.735000-05:00,0 days 01:18:14.023000,2
43,38.034081,-78.499425,2025-01-21 14:18:32.778000-05:00,2025-01-21 14:29:49.925000-05:00,0 days 00:11:17.147000,11
44,38.033553,-78.507977,2025-01-21 14:34:21.444000-05:00,2025-01-21 15:51:13.182000-05:00,0 days 01:16:51.738000,0
45,38.036457,-78.505368,2025-01-21 14:36:11-05:00,2025-01-21 15:50:25.001000-05:00,0 days 01:14:14.001000,12
46,38.033553,-78.507977,2025-01-21 16:02:35.118000-05:00,2025-01-21 19:03:50.880000-05:00,0 days 03:01:15.762000,0
47,38.032882,-78.513558,2025-01-21 16:02:35.118000-05:00,2025-01-21 16:43:02.738000-05:00,0 days 00:40:27.620000,9
48,38.029297,-78.510103,2025-01-21 19:05:55.589000-05:00,2025-01-22 09:27:15.034000-05:00,0 days 14:21:19.445000,2
49,38.031619,-78.510846,2025-01-22 09:28:45.642000-05:00,2025-01-22 10:48:51.508000-05:00,0 days 01:20:05.866000,1
50,38.031619,-78.510846,2025-01-22 09:28:45.642000-05:00,2025-01-22 09:32:47.145000-05:00,0 days 00:04:01.503000,1
51,38.031619,-78.510846,2025-01-22 12:24:52.886000-05:00,2025-01-22 18:21:18.064000-05:00,0 days 05:56:25.178000,1
52,38.031619,-78.510846,2025-01-22 12:26:08.232000-05:00,2025-01-22 13:50:39.045000-05:00,0 days 01:24:30.813000,1
53,38.033553,-78.507977,2025-01-22 18:37:09.044000-05:00,2025-01-22 20:11:55.509000-05:00,0 days 01:34:46.465000,0
54,38.029297,-78.510103,2025-01-22 20:16:22.393000-05:00,2025-01-23 10:52:14.467000-05:00,0 days 14:35:52.074000,2
55,38.031619,-78.510846,2025-01-23 10:55:20.013000-05:00,2025-01-23 12:22:34.999000-05:00,0 days 01:27:14.986000,1
56,38.031619,-78.510846,2025-01-23 10:55:20.013000-05:00,2025-01-23 12:22:34.999000-05:00,0 days 01:27:14.986000,1
57,38.029297,-78.510103,2025-01-23 12:22:34.999000-05:00,2025-01-23 15:09:51.704000-05:00,0 days 02:47:16.705000,2
58,38.033553,-78.507977,2025-01-23 15:23:15.195000-05:00,2025-01-23 17:48:27.139000-05:00,0 days 02:25:11.944000,0
59,38.036457,-78.505368,2025-01-23 15:28:48.460000-05:00,2025-01-23 17:48:27.139000-05:00,0 days 02:19:38.679000,12
60,38.029327,-78.510056,2025-01-23 18:02:13.974000-05:00,2025-01-23 18:15:50-05:00,0 days 00:13:36.026000,2
61,38.029261,-78.510124,2025-01-23 18:38:43.935000-05:00,2025-01-24 06:16:42.023000-05:00,0 days 11:37:58.088000,2
62,38.029297,-78.510103,2025-01-24 06:16:42.023000-05:00,2025-01-24 06:57:01.790000-05:00,0 days 00:40:19.767000,2
63,37.654742,-77.613206,2025-01-24 08:13:22.382000-05:00,2025-01-24 09:49:15.019000-05:00,0 days 01:35:52.637000,13
64,37.655,-77.613889,2025-01-24 08:13:22.382000-05:00,2025-01-24 09:49:15.019000-05:00,0 days 01:35:52.637000,6
65,38.033553,-78.507977,2025-01-24 10:47:03.717000-05:00,2025-01-24 10:58:43.078000-05:00,0 days 00:11:39.361000,0
66,38.029297,-78.510103,2025-01-24 11:17:32.532000-05:00,2025-01-24 11:32:41.025000-05:00,0 days 00:15:08.493000,2
67,38.059773,-78.489135,2025-01-24 11:45:53.524000-05:00,2025-01-24 12:06:23.077000-05:00,0 days 00:20:29.553000,-1
68,38.052815,-78.501257,2025-01-24 12:23:15.008000-05:00,2025-01-24 13:00:01.170000-05:00,0 days 00:36:46.162000,4
69,38.029297,-78.510103,2025-01-24 13:07:46.651000-05:00,2025-01-24 15:29:56.570000-05:00,0 days 02:22:09.919000,2
70,38.033553,-78.507977,2025-01-24 15:29:56.570000-05:00,2025-01-24 15:33:54.948000-05:00,0 days 00:03:58.378000,0
71,38.127095,-78.444288,2025-01-24 15:58:46.999000-05:00,2025-01-24 17:50:12.943000-05:00,0 days 01:51:25.944000,14
72,38.129001,-78.440783,2025-01-24 16:03:49.421000-05:00,2025-01-24 17:50:12.943000-05:00,0 days 01:46:23.522000,15
73,38.033553,-78.507977,2025-01-24 18:17:20-05:00,2025-01-24 19:19:45.979000-05:00,0 days 01:02:25.979000,0
74,38.029498,-78.51739,2025-01-24 18:17:20-05:00,2025-01-24 19:16:01.325000-05:00,0 days 00:58:41.325000,-1
75,38.02908,-78.509906,2025-01-24 19:32:18.580000-05:00,2025-01-24 21:27:52.961000-05:00,0 days 01:55:34.381000,2
76,38.052815,-78.501257,2025-01-24 21:32:47.999000-05:00,2025-01-24 21:57:41-05:00,0 days 00:24:53.001000,4
77,38.029297,-78.510103,2025-01-24 22:01:38.017000-05:00,2025-01-25 13:07:23.154000-05:00,0 days 15:05:45.137000,2
78,38.033553,-78.507977,2025-01-25 13:07:23.154000-05:00,2025-01-25 15:08:43.473000-05:00,0 days 02:01:20.319000,0
79,38.032882,-78.513558,2025-01-25 13:09:44.381000-05:00,2025-01-25 15:06:33.541000-05:00,0 days 01:56:49.160000,9
80,38.029297,-78.510103,2025-01-25 15:12:01.441000-05:00,2025-01-25 16:06:15.005000-05:00,0 days 00:54:13.564000,2
81,38.065186,-78.492411,2025-01-25 16:15:30.802000-05:00,2025-01-25 16:41:28.594000-05:00,0 days 00:25:57.792000,16
82,38.062983,-78.491488,2025-01-25 16:15:30.802000-05:00,2025-01-25 16:41:28.594000-05:00,0 days 00:25:57.792000,17
83,38.069104,-78.490289,2025-01-25 16:44:32-05:00,2025-01-25 17:00:35.476000-05:00,0 days 00:16:03.476000,7
84,38.052815,-78.501257,2025-01-25 17:05:34.951000-05:00,2025-01-25 17:15:37.191000-05:00,0 days 00:10:02.240000,4
85,38.029297,-78.510103,2025-01-25 17:21:06.539000-05:00,2025-01-26 06:48:10.142000-05:00,0 days 13:27:03.603000,2
86,38.033553,-78.507977,2025-01-26 07:00:09-05:00,2025-01-26 07:08:44-05:00,0 days 00:08:35,0
87,38.033271,-78.509706,2025-01-26 07:01:34.382000-05:00,2025-01-26 07:08:44-05:00,0 days 00:07:09.618000,18
88,37.654742,-77.613206,2025-01-26 08:07:34.928000-05:00,2025-01-26 09:35:40-05:00,0 days 01:28:05.072000,13
89,37.655,-77.613889,2025-01-26 08:07:34.928000-05:00,2025-01-26 09:35:40-05:00,0 days 01:28:05.072000,6
90,38.029297,-78.510103,2025-01-26 10:37:17.886000-05:00,2025-01-26 10:55:46-05:00,0 days 00:18:28.114000,2
91,38.033553,-78.507977,2025-01-26 10:57:02.380000-05:00,2025-01-26 12:03:33.560000-05:00,0 days 01:06:31.180000,0
92,38.031103,-78.513688,2025-01-26 10:57:02.380000-05:00,2025-01-26 12:03:33.560000-05:00,0 days 01:06:31.180000,3
93,38.029297,-78.510103,2025-01-26 12:12:35-05:00,2025-01-26 15:58:04.850000-05:00,0 days 03:45:29.850000,2
94,38.033553,-78.507977,2025-01-26 15:58:04.850000-05:00,2025-01-26 18:17:48.851000-05:00,0 days 02:19:44.001000,0
95,38.031103,-78.513688,2025-01-26 18:07:56.340000-05:00,2025-01-26 18:17:48.851000-05:00,0 days 00:09:52.511000,3
96,38.029297,-78.510103,2025-01-26 18:21:17.998000-05:00,2025-01-26 19:05:52.679000-05:00,0 days 00:44:34.681000,2
97,38.033553,-78.507977,2025-01-26 19:09:43.614000-05:00,2025-01-26 21:56:04-05:00,0 days 02:46:20.386000,0
98,38.029297,-78.510103,2025-01-26 22:01:48.176000-05:00,2025-01-27 09:25:49.416000-05:00,0 days 11:24:01.240000,2
99,38.031619,-78.510846,2025-01-27 09:28:15.486000-05:00,2025-01-27 10:54:07.549000-05:00,0 days 01:25:52.063000,1
100,38.031619,-78.510846,2025-01-27 09:28:15.486000-05:00,2025-01-27 10:54:07.549000-05:00,0 days 01:25:52.063000,1
101,38.033553,-78.507977,2025-01-27 10:54:07.549000-05:00,2025-01-27 18:20:20.890000-05:00,0 days 07:26:13.341000,0
102,38.033795,-78.511534,2025-01-27 11:39:18.076000-05:00,2025-01-27 11:48:40.721000-05:00,0 days 00:09:22.645000,-1
103,38.029297,-78.510103,2025-01-27 18:22:23.920000-05:00,2025-01-27 18:55:56.566000-05:00,0 days 00:33:32.646000,2
104,38.031619,-78.510846,2025-01-28 10:53:29.923000-05:00,2025-01-28 12:19:21.038000-05:00,0 days 01:25:51.115000,1
105,38.031619,-78.510846,2025-01-28 10:53:29.923000-05:00,2025-01-28 12:19:21.038000-05:00,0 days 01:25:51.115000,1
106,38.029297,-78.510103,2025-01-28 12:20:42.781000-05:00,2025-01-28 13:48:47.091000-05:00,0 days 01:28:04.310000,2
107,38.033553,-78.507977,2025-01-28 16:54:32.436000-05:00,2025-01-28 19:05:31.583000-05:00,0 days 02:10:59.147000,0
108,38.032088,-78.510695,2025-01-28 16:55:29.258000-05:00,2025-01-28 19:05:31.583000-05:00,0 days 02:10:02.325000,19
109,38.033553,-78.507977,2025-01-28 19:56:12.999000-05:00,2025-01-28 21:03:23.046000-05:00,0 days 01:07:10.047000,0
110,38.032882,-78.513558,2025-01-28 19:58:27.026000-05:00,2025-01-28 20:14:09-05:00,0 days 00:15:41.974000,9
111,38.052437,-78.514644,2025-01-28 20:19:28-05:00,2025-01-28 21:03:23.046000-05:00,0 days 00:43:55.046000,-1
112,38.052815,-78.501257,2025-01-28 21:15:23-05:00,2025-01-28 21:54:50.999000-05:00,0 days 00:39:27.999000,4
113,38.050283,-78.504449,2025-01-28 21:15:23-05:00,2025-01-28 21:21:57.438000-05:00,0 days 00:06:34.438000,20
114,38.048614,-78.504383,2025-01-28 21:48:55-05:00,2025-01-28 21:54:50.999000-05:00,0 days 00:05:55.999000,-1
115,38.029297,-78.510103,2025-01-28 23:00:25.625000-05:00,2025-01-29 09:26:00-05:00,0 days 10:25:34.375000,2
116,38.031619,-78.510846,2025-01-29 09:29:31.778000-05:00,2025-01-29 10:52:20.863000-05:00,0 days 01:22:49.085000,1
117,38.029327,-78.510056,2025-01-29 10:52:20.863000-05:00,2025-01-29 13:56:31.616000-05:00,0 days 03:04:10.753000,2
118,38.033553,-78.507977,2025-01-29 14:01:02.727000-05:00,2025-01-29 18:18:14-05:00,0 days 04:17:11.273000,0
119,38.033271,-78.509706,2025-01-29 14:01:02.727000-05:00,2025-01-29 15:20:05-05:00,0 days 01:19:02.273000,18
120,38.032088,-78.510695,2025-01-29 15:21:09.490000-05:00,2025-01-29 18:18:14-05:00,0 days 02:57:04.510000,19
121,38.029297,-78.510103,2025-01-29 18:22:55.509000-05:00,2025-01-29 18:55:04-05:00,0 days 00:32:08.491000,2
122,38.052815,-78.501257,2025-01-29 19:01:11.999000-05:00,2025-01-29 19:13:12.124000-05:00,0 days 00:12:00.125000,4
123,38.029297,-78.510103,2025-01-29 19:18:59.870000-05:00,2025-01-29 20:26:02.170000-05:00,0 days 01:07:02.300000,2
124,38.033553,-78.507977,2025-01-29 20:30:50.715000-05:00,2025-01-29 22:03:41.961000-05:00,0 days 01:32:51.246000,0
125,38.032882,-78.513558,2025-01-29 20:30:50.715000-05:00,2025-01-29 22:03:41.961000-05:00,0 days 01:32:51.246000,9
126,38.029297,-78.510103,2025-01-29 22:08:24.280000-05:00,2025-01-30 10:54:06.097000-05:00,0 days 12:45:41.817000,2
127,38.031619,-78.510846,2025-01-30 10:54:06.097000-05:00,2025-01-30 12:21:40.993000-05:00,0 days 01:27:34.896000,1
128,38.029297,-78.510103,2025-01-30 12:22:51.802000-05:00,2025-01-30 13:30:32-05:00,0 days 01:07:40.198000,2
129,38.033553,-78.507977,2025-01-30 13:42:01-05:00,2025-01-30 16:50:41.052000-05:00,0 days 03:08:40.052000,0
130,38.036457,-78.505368,2025-01-30 13:43:44.529000-05:00,2025-01-30 16:50:41.052000-05:00,0 days 03:06:56.523000,12
131,38.029297,-78.510103,2025-01-30 17:06:28-05:00,2025-01-31 12:02:48.054000-05:00,0 days 18:56:20.054000,2
132,38.033553,-78.507977,2025-01-31 12:15:36-05:00,2025-01-31 13:49:01.173000-05:00,0 days 01:33:25.173000,0
133,38.036351,-78.50731,2025-01-31 12:16:22.847000-05:00,2025-01-31 13:49:01.173000-05:00,0 days 01:32:38.326000,21
134,38.029297,-78.510103,2025-01-31 13:59:59.885000-05:00,2025-01-31 16:57:17-05:00,0 days 02:57:17.115000,2
135,38.052815,-78.501257,2025-01-31 17:06:08.081000-05:00,2025-01-31 17:43:32.715000-05:00,0 days 00:37:24.634000,4
136,38.050261,-78.502475,2025-01-31 17:06:08.081000-05:00,2025-01-31 17:21:38.676000-05:00,0 days 00:15:30.595000,22
137,38.033553,-78.507977,2025-01-31 17:49:27.410000-05:00,2025-01-31 20:12:32.522000-05:00,0 days 02:23:05.112000,0
138,38.031103,-78.513688,2025-01-31 17:49:27.410000-05:00,2025-01-31 20:12:32.522000-05:00,0 days 02:23:05.112000,3
139,38.029327,-78.510056,2025-01-31 20:16:20-05:00,2025-02-01 10:48:42.255000-05:00,0 days 14:32:22.255000,2
