cluster,latitude,longitude,duration_time
0,38.033553,-78.507977,6 days 06:03:37.902000
1,38.031619,-78.510846,3 days 00:12:01.343000
2,38.02929709243697,-78.51009774789917,34 days 03:47:25.004000
3,38.031102999999995,-78.513688,0 days 13:37:11.962000
4,38.052777150000004,-78.5013018,0 days 08:39:26.891000
5,38.069505,-78.48403,0 days 00:46:51.686000
6,37.655,-77.613889,0 days 12:34:57.314000
7,38.069104,-78.490289,0 days 02:46:06.240000
8,38.053566,-78.500689,0 days 02:00:14.791000
9,38.032882,-78.513558,0 days 20:17:44.835000
10,38.035037,-78.517565,0 days 03:27:35.560000
11,38.034081,-78.499425,0 days 01:52:37.968000
12,38.036457,-78.505368,1 days 12:04:34.439000
13,37.654742,-77.613206,0 days 11:03:36.745000
14,38.127095,-78.444288,0 days 03:09:17.944000
15,38.129001,-78.440783,0 days 03:04:15.522000
16,38.065186,-78.49241100000002,0 days 03:36:58.445000
17,38.062983,-78.491488,0 days 01:45:22.846000
18,38.033271,-78.509706,0 days 04:54:18.191000
19,38.032088,-78.510695,0 days 08:17:34.919000
20,38.050283,-78.504449,0 days 00:13:57.934000
21,38.036351,-78.50731,0 days 04:02:04.112000
22,38.050261,-78.502475,0 days 00:19:44.748000
23,38.029583,-78.504491,0 days 05:45:28.833000
24,38.027085,-78.5116,0 days 04:42:06.128000
25,38.03482,-78.515183,0 days 00:20:04.251000
26,38.037998,-78.491035,0 days 02:10:50.724000
27,39.082826,-76.888902,0 days 01:04:04.628000
28,39.951501,-75.191016,1 days 07:46:31.087000
29,39.951702,-75.186531,0 days 12:09:06.524000
30,39.976278,-75.1811975,0 days 16:33:33.623000
31,38.064877,-78.492874,0 days 01:01:39.928000
32,38.90349,-77.400314,3 days 18:29:22.899000
33,38.856365,-77.3157895,0 days 02:48:39.762000
34,38.85712,-77.393327,0 days 01:12:18.103000
35,38.854505,-77.396306,0 days 00:35:48.740000
36,38.848666,-77.27269,0 days 06:00:07.343000
37,39.664541,-75.750463,0 days 22:39:38.806000
38,39.734053,-76.03931,0 days 01:50:08.648000
39,39.683578,-75.74798,0 days 01:01:51.452000
40,38.039382,-78.507636,0 days 00:54:28.225000
41,38.03965,-78.486291,0 days 12:37:55.726000
