,cluster_id,latitude,longitude,total_duration_time,place_id,place_types,place_address,place_name
0,0,38.033553,-78.507977,6 days 06:03:37.902000,ChIJ3cRJt0iGs4kRRliLzMIIUUA,"['university', 'point_of_interest', 'establishment']","Charlottesville, VA, USA",University of Virginia
1,1,38.031619,-78.510846,3 days 00:12:01.343000,ChIJB1s6kd6Hs4kRJhuNmO73ZLk,"['point_of_interest', 'establishment']","85 Engineer's Way, Charlottesville, VA 22903, USA",Rice Hall
2,2,38.02929709243697,-78.51009774789917,34 days 03:47:25.004000,ChIJjR--lIeHs4kRWTwypENqnhk,"['apartment_building', 'point_of_interest', 'establishment']","112 Montebello Cir, Charlottesville, VA 22903, USA",112 Montebello Circle Apartments
3,3,38.031103,-78.513688,0 days 13:37:11.962000,ChIJ83CLDFyGs4kRlpbwbea2AWc,"['stadium', 'event_venue', 'sports_complex', 'sports_activity_location', 'point_of_interest', 'establishment']","1815 Stadium Rd, Charlottesville, VA 22903, USA",Scott Stadium
4,4,38.05277715,-78.5013018,0 days 08:39:26.891000,ChIJI5T2nbeHs4kRuLewu_1gO8g,"['shopping_mall', 'point_of_interest', 'establishment']","1117 Emmet St N, Charlottesville, VA 22903, USA",Barracks Road Shopping Center
5,5,38.069505,-78.48403,0 days 00:46:51.686000,ChIJkchPWniHs4kR80VQjgFxijU,"['fast_food_restaurant', 'candy_store', 'sandwich_shop', 'convenience_store', 'gas_station', 'confectionery', 'coffee_shop', 'cafe', 'breakfast_restaurant', 'food_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","1215 Seminole Trail, Charlottesville, VA 22901, USA",Wawa
6,6,37.655,-77.613889,0 days 12:34:57.314000,ChIJ3_lgiXtqsYkRr7BC8g0x9TU,"['ice_skating_rink', 'video_arcade', 'sports_complex', 'sports_activity_location', 'restaurant', 'food', 'point_of_interest', 'establishment']","4350 Pouncey Tract Rd, Glen Allen, VA 23060, USA",SkateNation Plus
7,7,38.069104,-78.490289,0 days 02:46:06.240000,ChIJ02ss_OiHs4kRGskTqGAbMdI,"['warehouse_store', 'department_store', 'store', 'point_of_interest', 'establishment']","3171 District Ave, Charlottesville, VA 22901, USA",Costco Wholesale
8,8,38.053566,-78.500689,0 days 02:00:14.791000,ChIJS2bqabaHs4kRSFt5o5c1Wos,"['grocery_store', 'food_store', 'store', 'food', 'point_of_interest', 'establishment']","1159 Emmet St N, Charlottesville, VA 22903, USA",Kroger
9,9,38.032882,-78.513558,0 days 20:17:44.835000,ChIJpyGb7luGs4kRIMwkg1whbHk,"['swimming_pool', 'sports_complex', 'athletic_field', 'gym', 'event_venue', 'sports_activity_location', 'health', 'point_of_interest', 'establishment']","450 Whitehead Rd, Charlottesville, VA 22904, USA",Aquatic & Fitness Center
10,10,38.035037,-78.517565,0 days 03:27:35.560000,ChIJj5PlUliGs4kRkctmFM6bQsE,"['sports_activity_location', 'point_of_interest', 'establishment']","505 Edgemont Rd, Charlottesville, VA 22903, USA",Slaughter Recreation Center
11,11,38.034081,-78.499425,0 days 01:52:37.968000,ChIJe36PwUeGs4kRZOJkoRYRhEc,"['hamburger_restaurant', 'american_restaurant', 'bar', 'sports_club', 'restaurant', 'food', 'point_of_interest', 'establishment']","102 14th St NW, Charlottesville, VA 22903, USA",Boylan Heights
12,12,38.036457,-78.505368,1 days 12:04:34.439000,ChIJYWEcjkWGs4kRfZ5xc0CXbuk,"['library', 'point_of_interest', 'establishment']","160 McCormick Rd, Charlottesville, VA 22904, USA",Shannon Library
13,13,37.654742,-77.613206,0 days 11:03:36.745000,ChIJjRl1XghrsYkR9KPLoLF980M,"['restaurant', 'food', 'point_of_interest', 'establishment']","4300 Pouncey Tract Rd suite a, Glen Allen, VA 23060, USA",Sushi Kingdom Glen Allen
14,14,38.127095,-78.444288,0 days 03:09:17.944000,ChIJCf9IHQl3tIkR9yV1GWU27zw,"['shopping_mall', 'grocery_store', 'food_store', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']","163 Community St, Charlottesville, VA 22911, USA",Hollymead Town Center
15,15,38.129001,-78.440783,0 days 03:04:15.522000,ChIJ_5xbqgh3tIkRC_j6tDv7bLs,"['department_store', 'shoe_store', 'furniture_store', 'home_improvement_store', 'electronics_store', 'clothing_store', 'child_care_agency', 'home_goods_store', 'store', 'point_of_interest', 'establishment']","312 Connor Dr, Charlottesville, VA 22911, USA",Target
16,16,38.065186,-78.49241100000002,0 days 03:36:58.445000,ChIJ1cS0HsKHs4kRHcXgPgU1f_g,"['shopping_mall', 'point_of_interest', 'establishment']","2100 Hydraulic Rd, Charlottesville, VA 22901, USA",The Shops at Stonefield
17,17,38.062983,-78.491488,0 days 01:45:22.846000,ChIJwebD0sOHs4kRoLRhR_Shj-g,"['grocery_store', 'liquor_store', 'market', 'supermarket', 'food_store', 'health', 'food', 'point_of_interest', 'store', 'establishment']","2025 Bond St, Charlottesville, VA 22901, USA",Trader Joe's
18,18,38.033271,-78.509706,0 days 04:54:18.191000,ChIJTxfaLluGs4kRjzKe2drp48c,"['point_of_interest', 'establishment']","351 McCormick Rd, Charlottesville, VA 22904, USA",University of Virginia School of Engineering & Applied Science
19,19,38.032088,-78.510695,0 days 08:17:34.919000,ChIJp622Q1uGs4kRB5yTaU44YRg,"['point_of_interest', 'establishment']","151 Engineer's Way, Charlottesville, VA 22904, USA",Olsson Hall
