,latitude,longitude,start_time,end_time,duration_time,cluster
0,38.028028,-78.508516,2025-02-12 17:56:54-05:00,2025-02-13 10:44:48.307000-05:00,0 days 16:47:54.307000,0
1,38.031619,-78.510846,2025-02-13 10:51:39.463000-05:00,2025-02-13 12:31:04.514000-05:00,0 days 01:39:25.051000,1
2,38.031619,-78.510846,2025-02-13 10:51:39.463000-05:00,2025-02-13 11:03:44.537000-05:00,0 days 00:12:05.074000,1
3,38.028028,-78.508516,2025-02-13 12:36:02.657000-05:00,2025-02-13 16:04:27.150000-05:00,0 days 03:28:24.493000,0
4,38.052815,-78.501257,2025-02-13 16:15:59.999000-05:00,2025-02-13 17:02:51.018000-05:00,0 days 00:46:51.019000,2
5,38.050283,-78.504449,2025-02-13 16:15:59.999000-05:00,2025-02-13 16:25:17.999000-05:00,0 days 00:09:18,-1
6,38.068385,-78.488569,2025-02-13 17:10:56.998000-05:00,2025-02-13 17:15:50.999000-05:00,0 days 00:04:54.001000,-1
7,38.127095,-78.444288,2025-02-13 17:27:09.999000-05:00,2025-02-13 17:36:23.998000-05:00,0 days 00:09:13.999000,3
8,38.129001,-78.440783,2025-02-13 17:29:41.998000-05:00,2025-02-13 17:34:07.998000-05:00,0 days 00:04:26,4
9,38.80798,-77.494014,2025-02-13 19:03:57.999000-05:00,2025-02-13 19:10:52.998000-05:00,0 days 00:06:54.999000,-1
10,38.917017,-77.222836,2025-02-13 19:35:07.131000-05:00,2025-02-13 20:00:47.169000-05:00,0 days 00:25:40.038000,-1
11,38.920449,-77.280044,2025-02-13 20:00:47.169000-05:00,2025-02-14 15:25:06.999000-05:00,0 days 19:24:19.830000,5
12,38.887226,-77.414737,2025-02-14 15:51:46.999000-05:00,2025-02-14 15:53:06.999000-05:00,0 days 00:01:20,-1
13,38.888255,-77.41905,2025-02-14 15:53:06.999000-05:00,2025-02-14 16:08:30.388000-05:00,0 days 00:15:23.389000,6
14,38.888419,-77.419324,2025-02-14 15:53:06.999000-05:00,2025-02-14 16:08:30.388000-05:00,0 days 00:15:23.389000,6
15,38.889176,-77.443126,2025-02-14 16:34:55.012000-05:00,2025-02-14 17:05:15.034000-05:00,0 days 00:30:20.022000,-1
16,38.904319,-77.203606,2025-02-14 17:36:06.030000-05:00,2025-02-14 17:57:42.868000-05:00,0 days 00:21:36.838000,7
17,38.904527,-77.203629,2025-02-14 17:36:06.030000-05:00,2025-02-14 17:57:42.868000-05:00,0 days 00:21:36.838000,7
18,38.920449,-77.280044,2025-02-14 18:18:37.998000-05:00,2025-02-15 10:03:43.999000-05:00,0 days 15:45:06.001000,5
19,38.829648,-77.185921,2025-02-15 10:24:33.998000-05:00,2025-02-15 11:14:09.239000-05:00,0 days 00:49:35.241000,8
20,38.829576,-77.186012,2025-02-15 10:24:33.998000-05:00,2025-02-15 10:40:25.487000-05:00,0 days 00:15:51.489000,8
21,38.867379,-77.145614,2025-02-15 11:27:17.999000-05:00,2025-02-15 11:30:09.999000-05:00,0 days 00:02:52,-1
22,38.868633,-77.141968,2025-02-15 11:30:09.999000-05:00,2025-02-15 12:05:47.999000-05:00,0 days 00:35:38,-1
23,38.920449,-77.280044,2025-02-15 12:33:30.999000-05:00,2025-02-16 14:34:54.210000-05:00,1 days 02:01:23.211000,5
24,38.099505,-78.4658,2025-02-16 16:21:37.999000-05:00,2025-02-16 16:31:29.998000-05:00,0 days 00:09:51.999000,9
25,38.099982,-78.464755,2025-02-16 16:23:47.999000-05:00,2025-02-16 16:31:29.998000-05:00,0 days 00:07:41.999000,-1
26,38.028028,-78.508516,2025-02-16 16:45:25.999000-05:00,2025-02-16 19:33:35.999000-05:00,0 days 02:48:10,0
27,38.033553,-78.507977,2025-02-16 19:41:03.998000-05:00,2025-02-16 21:18:08.037000-05:00,0 days 01:37:04.039000,10
28,38.032882,-78.513558,2025-02-16 19:45:02.999000-05:00,2025-02-16 19:57:43.733000-05:00,0 days 00:12:40.734000,-1
29,38.028028,-78.508516,2025-02-16 21:23:07.999000-05:00,2025-02-17 14:33:12.844000-05:00,0 days 17:10:04.845000,0
30,38.028028,-78.508516,2025-02-17 14:43:19.293000-05:00,2025-02-17 16:40:54.679000-05:00,0 days 01:57:35.386000,0
31,38.033553,-78.507977,2025-02-17 16:47:12.040000-05:00,2025-02-17 18:20:54.999000-05:00,0 days 01:33:42.959000,10
32,38.032088,-78.510695,2025-02-17 16:47:12.040000-05:00,2025-02-17 17:59:47.728000-05:00,0 days 01:12:35.688000,11
33,38.068191,-78.492598,2025-02-17 18:37:37.999000-05:00,2025-02-17 18:40:16.999000-05:00,0 days 00:02:39,-1
34,38.069104,-78.490289,2025-02-17 18:40:16.999000-05:00,2025-02-17 19:04:05-05:00,0 days 00:23:48.001000,-1
35,38.065186,-78.492411,2025-02-17 19:05:56-05:00,2025-02-17 19:16:57.998000-05:00,0 days 00:11:01.998000,-1
36,38.062983,-78.491488,2025-02-17 19:08:19.999000-05:00,2025-02-17 19:16:57.998000-05:00,0 days 00:08:37.999000,-1
37,38.028028,-78.508516,2025-02-17 19:29:02.998000-05:00,2025-02-18 16:16:49.838000-05:00,0 days 20:47:46.840000,0
38,38.052815,-78.501257,2025-02-18 16:21:02.998000-05:00,2025-02-18 16:43:53.658000-05:00,0 days 00:22:50.660000,2
39,38.048614,-78.504383,2025-02-18 16:21:42.999000-05:00,2025-02-18 16:28:00.999000-05:00,0 days 00:06:18,-1
40,38.050261,-78.502475,2025-02-18 16:28:28.999000-05:00,2025-02-18 16:43:53.658000-05:00,0 days 00:15:24.659000,12
41,38.035801,-78.498403,2025-02-18 16:59:26.999000-05:00,2025-02-18 20:06:11.610000-05:00,0 days 03:06:44.611000,13
42,38.028028,-78.508516,2025-02-18 20:10:41.998000-05:00,2025-02-19 12:36:39.267000-05:00,0 days 16:25:57.269000,0
43,38.028028,-78.508516,2025-02-20 13:57:43.985000-05:00,2025-02-20 15:29:42.016000-05:00,0 days 01:31:58.031000,0
44,38.033553,-78.507977,2025-02-20 15:29:42.016000-05:00,2025-02-20 15:33:41.999000-05:00,0 days 00:03:59.983000,10
45,38.127095,-78.444288,2025-02-20 15:56:26.999000-05:00,2025-02-20 16:26:18.363000-05:00,0 days 00:29:51.364000,3
46,38.129001,-78.440783,2025-02-20 15:56:26.999000-05:00,2025-02-20 16:12:17.692000-05:00,0 days 00:15:50.693000,4
47,38.099505,-78.4658,2025-02-20 16:33:05-05:00,2025-02-20 16:47:19.999000-05:00,0 days 00:14:14.999000,9
48,38.09748,-78.467202,2025-02-20 16:47:44.998000-05:00,2025-02-20 17:05:33.573000-05:00,0 days 00:17:48.575000,-1
49,38.028028,-78.508516,2025-02-20 17:20:35.999000-05:00,2025-02-21 12:51:27.123000-05:00,0 days 19:30:51.124000,0
50,38.083603,-78.470805,2025-02-21 13:07:54.039000-05:00,2025-02-21 13:59:20-05:00,0 days 00:51:25.961000,14
51,38.083002,-78.470481,2025-02-21 13:09:52.998000-05:00,2025-02-21 13:59:20-05:00,0 days 00:49:27.002000,15
52,38.028028,-78.508516,2025-02-21 14:16:19.999000-05:00,2025-02-21 18:10:22.304000-05:00,0 days 03:54:02.305000,0
53,38.008758,-78.500588,2025-02-21 18:20:55.998000-05:00,2025-02-21 18:39:32.489000-05:00,0 days 00:18:36.491000,-1
54,38.028028,-78.508516,2025-02-21 18:49:38.999000-05:00,2025-02-22 12:12:22.561000-05:00,0 days 17:22:43.562000,0
55,38.043787,-78.512533,2025-02-22 12:16:35.998000-05:00,2025-02-22 13:48:38.080000-05:00,0 days 01:32:02.082000,16
56,38.04385,-78.512632,2025-02-22 12:18:49.999000-05:00,2025-02-22 12:30:42.491000-05:00,0 days 00:11:52.492000,16
57,38.028028,-78.508516,2025-02-22 13:50:35.997000-05:00,2025-02-22 17:16:16.516000-05:00,0 days 03:25:40.519000,0
58,38.028028,-78.508516,2025-02-22 17:33:21.937000-05:00,2025-02-22 20:16:35.671000-05:00,0 days 02:43:13.734000,0
59,38.052815,-78.501257,2025-02-22 20:20:51.999000-05:00,2025-02-22 21:18:19.788000-05:00,0 days 00:57:27.789000,2
60,38.050261,-78.502475,2025-02-22 20:20:51.999000-05:00,2025-02-22 21:18:19.788000-05:00,0 days 00:57:27.789000,12
61,38.028028,-78.508516,2025-02-22 21:24:40.999000-05:00,2025-02-23 11:42:04.266000-05:00,0 days 14:17:23.267000,0
62,38.028028,-78.508516,2025-02-23 11:58:51-05:00,2025-02-24 10:41:28.322000-05:00,0 days 22:42:37.322000,0
63,38.028028,-78.508516,2025-02-24 10:52:13.188000-05:00,2025-02-24 13:44:54.142000-05:00,0 days 02:52:40.954000,0
64,38.031619,-78.510846,2025-02-24 13:51:42.035000-05:00,2025-02-24 15:37:19.966000-05:00,0 days 01:45:37.931000,1
65,38.028028,-78.508516,2025-02-24 15:42:01.695000-05:00,2025-02-25 14:25:16.588000-05:00,0 days 22:43:14.893000,0
66,38.033553,-78.507977,2025-02-25 17:14:18.998000-05:00,2025-02-25 19:24:38.032000-05:00,0 days 02:10:19.034000,10
67,38.033553,-78.507977,2025-02-25 19:31:11-05:00,2025-02-26 13:24:26.907000-05:00,0 days 17:53:15.907000,10
68,38.028028,-78.508516,2025-02-26 13:24:26.907000-05:00,2025-02-26 15:37:09.044000-05:00,0 days 02:12:42.137000,0
69,38.033553,-78.507977,2025-02-26 15:39:45.023000-05:00,2025-02-26 16:02:46.994000-05:00,0 days 00:23:01.971000,10
70,38.036351,-78.50731,2025-02-26 15:39:45.023000-05:00,2025-02-26 16:02:46.994000-05:00,0 days 00:23:01.971000,-1
71,38.028028,-78.508516,2025-02-26 16:17:23.999000-05:00,2025-02-27 08:45:01.011000-05:00,0 days 16:27:37.012000,0
72,38.083603,-78.470805,2025-02-27 09:01:46.999000-05:00,2025-02-27 09:50:22.058000-05:00,0 days 00:48:35.059000,14
73,38.083002,-78.470481,2025-02-27 09:01:46.999000-05:00,2025-02-27 09:50:22.058000-05:00,0 days 00:48:35.059000,15
74,38.028028,-78.508516,2025-02-27 10:03:43.999000-05:00,2025-02-27 10:07:11.998000-05:00,0 days 00:03:27.999000,0
75,38.127095,-78.444288,2025-02-27 10:23:44.998000-05:00,2025-02-27 10:34:42.489000-05:00,0 days 00:10:57.491000,3
76,38.129001,-78.440783,2025-02-27 10:23:44.998000-05:00,2025-02-27 10:34:42.489000-05:00,0 days 00:10:57.491000,4
77,38.052815,-78.501257,2025-02-27 10:53:14.998000-05:00,2025-02-27 12:12:05.079000-05:00,0 days 01:18:50.081000,2
