cluster,latitude,longitude,duration_time
0,38.028028,-78.508516,12 days 17:26:47.040000
1,38.031619,-78.510846,0 days 06:54:30.509000
2,38.052815,-78.501257,0 days 03:35:15.549000
3,38.127095,-78.444288,0 days 00:58:41.853000
4,38.129001,-78.440783,0 days 00:39:53.183000
5,38.920449,-77.280044,5 days 01:28:51.030000
6,38.888337,-77.419187,0 days 00:30:46.778000
7,38.904423,-77.20361750000001,0 days 00:43:13.676000
8,38.829612,-77.1859665,0 days 01:05:26.730000
9,38.099505,-78.4658,0 days 00:24:06.998000
10,38.033553,-78.507977,0 days 23:58:57.611000
11,38.032088,-78.510695,0 days 01:24:44.407000
12,38.050261,-78.502475,0 days 01:18:32.449000
13,38.035801,-78.498403,0 days 03:09:25.611000
14,38.083603,-78.470805,0 days 01:40:01.020000
15,38.083002,-78.470481,0 days 01:38:02.061000
16,38.0438185,-78.51258250000001,0 days 01:43:54.574000
17,36.79419,-76.122754,0 days 00:46:17.820000
18,36.75324,-76.124588,2 days 04:01:47.964000
19,36.867928,-76.224766,0 days 00:13:46.303000
20,36.852332,-76.198753,0 days 00:33:33.296000
21,36.911867,-76.067342,0 days 00:55:51.933000
22,38.011213,-78.499139,0 days 01:51:03.074000
23,38.8020915,-77.0615045,0 days 01:53:34.846000
24,38.952248,-77.457889,0 days 03:24:19.163000
25,46.684462,7.8617,1 days 05:41:32.980000
26,46.688908,7.897709,0 days 00:34:08.571000
27,46.625116,8.041792,0 days 00:33:25.822000
28,46.067361,7.774818,0 days 00:32:38.309000
29,46.023998,7.747835,0 days 00:40:10.457000
30,46.024769,7.751548,1 days 16:47:41.216000
31,46.0224925,7.7520045,0 days 00:10:15.500000
32,47.44920466666667,8.581616666666667,0 days 12:26:18.877000
