,latitude,longitude,start_time,end_time,duration_time,cluster
0,38.032001,-78.510506,2025-01-14 13:33:50.659000-05:00,2025-01-14 13:54:32.999000-05:00,0 days 00:20:42.340000,0
1,38.033553,-78.507977,2025-01-14 14:00:49-05:00,2025-01-14 15:20:06.394000-05:00,0 days 01:19:17.394000,1
2,38.030154,-78.503874,2025-01-14 14:00:49-05:00,2025-01-14 15:20:06.394000-05:00,0 days 01:19:17.394000,2
3,38.034093,-78.508209,2025-01-14 16:43:27.066000-05:00,2025-01-14 18:52:58.904000-05:00,0 days 02:09:31.838000,3
4,38.033553,-78.507977,2025-01-14 19:00:02.783000-05:00,2025-01-14 21:13:26.999000-05:00,0 days 02:13:24.216000,1
5,38.032882,-78.513558,2025-01-14 19:01:33.322000-05:00,2025-01-14 21:13:26.999000-05:00,0 days 02:11:53.677000,4
6,38.033934,-78.499036,2025-01-14 21:34:31.999000-05:00,2025-01-14 22:23:07.001000-05:00,0 days 00:48:35.002000,5
7,38.03749,-78.498949,2025-01-14 22:26:27.999000-05:00,2025-01-14 23:48:57.406000-05:00,0 days 01:22:29.407000,6
8,38.034093,-78.508209,2025-01-15 00:03:43.999000-05:00,2025-01-15 08:53:12.864000-05:00,0 days 08:49:28.865000,3
9,38.032009,-78.51053,2025-01-15 08:55:29.518000-05:00,2025-01-15 09:51:24.970000-05:00,0 days 00:55:55.452000,0
10,38.034093,-78.508209,2025-01-15 09:53:37.999000-05:00,2025-01-15 12:16:38.740000-05:00,0 days 02:23:00.741000,3
11,38.032009,-78.51053,2025-01-15 12:18:48.723000-05:00,2025-01-15 15:20:44.999000-05:00,0 days 03:01:56.276000,0
12,38.032838,-78.510027,2025-01-15 15:54:51.999000-05:00,2025-01-15 18:19:39.999000-05:00,0 days 02:24:48,7
13,38.034093,-78.508209,2025-01-15 18:21:33.425000-05:00,2025-01-16 13:35:03.998000-05:00,0 days 19:13:30.573000,3
14,38.052815,-78.501257,2025-01-16 13:44:24.998000-05:00,2025-01-16 15:21:00.275000-05:00,0 days 01:36:35.277000,8
15,38.050283,-78.504449,2025-01-16 13:46:09.998000-05:00,2025-01-16 14:21:04.148000-05:00,0 days 00:34:54.150000,-1
16,38.052307,-78.501712,2025-01-16 14:28:53.999000-05:00,2025-01-16 14:45:06.052000-05:00,0 days 00:16:12.053000,-1
17,38.051406,-78.503118,2025-01-16 14:45:16-05:00,2025-01-16 14:52:34.357000-05:00,0 days 00:07:18.357000,9
18,38.034093,-78.508209,2025-01-16 15:36:13.998000-05:00,2025-01-16 16:45:07.689000-05:00,0 days 01:08:53.691000,3
19,38.033553,-78.507977,2025-01-16 16:49:33.999000-05:00,2025-01-16 17:52:15.740000-05:00,0 days 01:02:41.741000,1
20,38.032882,-78.513558,2025-01-16 16:49:33.999000-05:00,2025-01-16 16:56:56.500000-05:00,0 days 00:07:22.501000,4
21,38.031103,-78.513688,2025-01-16 17:42:31.865000-05:00,2025-01-16 17:52:15.740000-05:00,0 days 00:09:43.875000,-1
22,38.034093,-78.508209,2025-01-16 18:57:36.542000-05:00,2025-01-16 20:06:24.263000-05:00,0 days 01:08:47.721000,3
23,38.026474,-78.519021,2025-01-16 20:07:26.999000-05:00,2025-01-16 23:53:45.999000-05:00,0 days 03:46:19,10
24,38.034093,-78.508209,2025-01-17 00:09:15.199000-05:00,2025-01-17 14:28:04.999000-05:00,0 days 14:18:49.800000,3
25,38.026474,-78.519021,2025-01-17 15:32:50.859000-05:00,2025-01-17 17:10:58.652000-05:00,0 days 01:38:07.793000,10
26,38.033553,-78.507977,2025-01-17 17:31:48.998000-05:00,2025-01-17 17:35:52.998000-05:00,0 days 00:04:04,1
27,38.034093,-78.508209,2025-01-17 17:35:52.998000-05:00,2025-01-17 17:47:46.886000-05:00,0 days 00:11:53.888000,3
28,38.037998,-78.491035,2025-01-17 18:10:15.999000-05:00,2025-01-17 20:47:09-05:00,0 days 02:36:53.001000,11
29,38.035194,-78.500453,2025-01-17 21:00:41.074000-05:00,2025-01-17 22:33:55.063000-05:00,0 days 01:33:13.989000,12
