cluster,latitude,longitude,duration_time
0,38.03200866666667,-78.510529,2 days 05:55:57.386000
1,38.033553,-78.507977,2 days 01:42:09.514000
2,38.030154,-78.503874,0 days 05:01:15.533000
3,38.034093,-78.508209,26 days 22:02:02.559000
4,38.032882,-78.513558,0 days 09:33:52.165000
5,38.033870500000006,-78.4987675,0 days 01:09:18.596000
6,38.03749,-78.498949,0 days 07:38:51.922000
7,38.032838,-78.510027,0 days 12:05:24.536000
8,38.052815,-78.501257,0 days 13:28:51.513000
9,38.051406,-78.503118,0 days 08:25:28
10,38.026474,-78.519021,2 days 10:05:21.302000
11,38.037998,-78.491035,0 days 05:45:12.391000
12,38.035194,-78.500453,0 days 03:28:56.432000
13,38.025665,-78.51599,0 days 01:06:12.423000
14,38.0868165,-78.469956,0 days 02:26:27.526000
15,38.026891,-78.516059,0 days 00:34:18.848000
16,38.0363375,-78.5072605,0 days 09:34:48.497000
17,38.035618,-78.50611,1 days 02:56:51.382000
18,38.011213,-78.499139,0 days 02:57:34.764000
19,38.032573,-78.505025,0 days 01:38:47.793000
20,38.036457,-78.505368,1 days 01:03:43.246000
21,38.02989,-78.509685,0 days 01:20:56.607000
22,38.053566,-78.500689,0 days 00:44:09.777000
23,38.027495,-78.518595,0 days 01:41:54.001000
24,38.048614,-78.504383,0 days 02:06:33.881000
25,38.055008,-78.496939,0 days 01:08:29.996000
26,38.03472333333334,-78.50029733333334,0 days 01:42:57.384000
27,38.024679,-78.535388,0 days 03:48:48.002000
28,38.853912,-77.408824,13 days 09:09:24.536000
29,38.952986,-77.412638,0 days 03:38:40.664000
30,38.89453,-77.422737,0 days 04:37:09.656000
31,38.8726415,-77.3683795,0 days 00:54:17.816000
32,38.917017,-77.222836,0 days 04:08:25.614000
