,cluster_id,latitude,longitude,total_duration_time,place_id,place_types,place_address,place_name
0,0,38.03200866666667,-78.510529,2 days 05:55:57.386000,ChIJp622Q1uGs4kRB5yTaU44YRg,"['point_of_interest', 'establishment']","151 Engineer's Way, Charlottesville, VA 22904, USA",Olsson Hall
1,1,38.033553,-78.507977,2 days 01:42:09.514000,ChIJ3cRJt0iGs4kRRliLzMIIUUA,"['university', 'point_of_interest', 'establishment']","Charlottesville, VA, USA",University of Virginia
2,2,38.030154,-78.503874,0 days 05:01:15.533000,ChIJgyKJHESGs4kRGrGJEdGoZuk,"['university', 'point_of_interest', 'establishment']","550 Brandon Ave, Charlottesville, VA 22903, USA",UVA Department of Student Health and Wellness
3,4,38.032882,-78.513558,0 days 09:33:52.165000,ChIJpyGb7luGs4kRIMwkg1whbHk,"['gym', 'event_venue', 'athletic_field', 'swimming_pool', 'sports_complex', 'sports_activity_location', 'health', 'point_of_interest', 'establishment']","450 Whitehead Rd, Charlottesville, VA 22904, USA",Aquatic & Fitness Center
4,5,38.033870500000006,-78.4987675,0 days 01:09:18.596000,ChIJ-ZvRdziGs4kRqL3TPH5X5ZM,"['pizza_restaurant', 'sandwich_shop', 'catering_service', 'food_delivery', 'vegan_restaurant', 'vegetarian_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']","1321 W Main St, Charlottesville, VA 22903, USA",Mellow Mushroom Charlottesville
5,6,38.03749,-78.498949,0 days 07:38:51.922000,ChIJhXpVN0iGs4kRqDNxNodmGsw,"['apartment_complex', 'point_of_interest', 'establishment']","301 15th St NW, Charlottesville, VA 22903, USA",Grandmarc at The Corner
6,7,38.032838,-78.510027,0 days 12:05:24.536000,ChIJJSA8WQCHs4kRe4r9IfD_GOE,"['point_of_interest', 'establishment']","351 McCormick Rd, Charlottesville, VA 22904, USA",UVA School of Engineering and Applied Science Office of the Dean
7,8,38.052815,-78.501257,0 days 13:28:51.513000,ChIJI5T2nbeHs4kRuLewu_1gO8g,"['shopping_mall', 'point_of_interest', 'establishment']","1117 Emmet St N, Charlottesville, VA 22903, USA",Barracks Road Shopping Center
8,9,38.051406,-78.503118,0 days 08:25:28,ChIJuVF1KbSHs4kR_uRzqp98g3s,"['point_of_interest', 'home_goods_store', 'store', 'establishment']","1035 Emmet St N Barracks Road Shopping Center, Charlottesville, VA 22903, USA",Michaels
9,11,38.037998,-78.491035,0 days 05:45:12.391000,ChIJD2LftRiHs4kRkt32IZrxrHU,"['food_court', 'market', 'clothing_store', 'point_of_interest', 'food', 'store', 'establishment']","946 Grady Ave, Charlottesville, VA 22903, USA",Dairy Market Charlottesville
10,12,38.035194,-78.500453,0 days 03:28:56.432000,ChIJOUrH4SSHs4kR4SRDMDioMhc,"['fast_food_restaurant', 'american_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']","1519 University Ave, Charlottesville, VA 22903, USA",Raising Cane's Chicken Fingers
11,13,38.025665,-78.51599,0 days 01:06:12.423000,ChIJx5fZk6GHs4kRF7BpeYChy3E,"['japanese_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']","2208 Fontaine Ave Ext, Charlottesville, VA 22903, USA",Mashumen
